fecha;departamento;modalidad;fallecidos;heridos
20200101;LIMA;DESPISTE;0;0
20200101;CAJAMARCA;DESPISTE;0;0
20200101;PASCO;DESPISTE;0;1
20200101;CAJAMARCA;DESPISTE;0;2
20200101;LIMA;DESPISTE;0;5
20200101;ICA;CHOQUE;0;1
20200101;ICA;CHOQUE;1;1
20200101;HUANUCO;ATROPELLO;0;1
20200101;PIURA;CHOQUE;0;6
20200101;AMAZONAS;DESPISTE;0;2
20200101;AREQUIPA;CHOQUE;0;0
20200101;LA LIBERTAD;DESPISTE;0;5
20200101;LA LIBERTAD;DESPISTE;0;2
20200101;MOQUEGUA;CHOQUE;0;0
20200101;TACNA;DESPISTE;1;0
20200101;PUNO;CHOQUE;0;0
20200102;AREQUIPA;DESPISTE;2;16
20200102;TACNA;DESPISTE;2;1
20200102;AREQUIPA;CHOQUE;0;0
20200102;AREQUIPA;CHOQUE;0;3
20200102;AREQUIPA;ESPECIAL;0;0
20200102;LIMA;ATROPELLO;1;0
20200102;CAJAMARCA;CHOQUE;0;0
20200102;LIMA;CHOQUE;0;1
20200102;LIMA;DESPISTE;0;0
20200102;LIMA;DESPISTE;0;1
20200102;AREQUIPA;CHOQUE;4;3
20200102;JUNIN;CHOQUE;0;3
20200102;ANCASH;CHOQUE;0;0
20200102;LIMA;DESPISTE;0;0
20200102;PUNO;DESPISTE;3;41
20200102;ANCASH;CHOQUE;2;6
20200102;AMAZONAS;DESPISTE;0;1
20200102;APURIMAC;DESPISTE;0;2
20200102;SAN MARTIN;DESPISTE;0;2
20200102;MADRE DE DIOS;DESPISTE;0;4
20200102;AREQUIPA;CHOQUE;0;0
20200102;TACNA;DESPISTE;0;6
20200103;LIMA;DESPISTE;0;2
20200103;LIMA;CHOQUE;0;2
20200103;LIMA;CHOQUE;0;4
20200103;LIMA;CHOQUE;0;0
20200103;LAMBAYEQUE;CHOQUE;0;3
20200103;LIMA;CHOQUE;0;1
20200103;JUNIN;CHOQUE;0;0
20200103;LIMA;CHOQUE;0;2
20200103;ICA;DESPISTE;0;2
20200103;AYACUCHO;DESPISTE;0;0
20200103;PUNO;CHOQUE;0;1
20200103;ANCASH;DESPISTE;0;1
20200103;AREQUIPA;CHOQUE;0;2
20200103;PIURA;DESPISTE;1;0
20200103;PUNO;CHOQUE;0;4
20200104;ANCASH;DESPISTE;0;0
20200104;AREQUIPA;CHOQUE;0;0
20200104;LIMA;DESPISTE;0;2
20200104;TACNA;CHOQUE;2;0
20200104;JUNIN;DESPISTE;0;4
20200104;UCAYALI;CHOQUE;0;2
20200104;CAJAMARCA;CHOQUE;0;2
20200104;JUNIN;CHOQUE;0;0
20200104;CAJAMARCA;DESPISTE;0;1
20200104;LIMA;DESPISTE;0;0
20200104;LIMA;DESPISTE;0;1
20200104;LIMA;DESPISTE;0;2
20200104;HUANUCO;CHOQUE;0;1
20200104;LAMBAYEQUE;DESPISTE;0;2
20200105;ICA;CHOQUE;0;6
20200105;LIMA;CHOQUE;0;2
20200105;LIMA;CHOQUE;0;2
20200105;JUNIN;CHOQUE;0;0
20200105;LIMA;DESPISTE;0;2
20200105;LIMA;CHOQUE;0;5
20200105;LAMBAYEQUE;CHOQUE;0;1
20200105;LIMA;CHOQUE;0;3
20200105;LIMA;CHOQUE;0;2
20200105;LIMA;CHOQUE;0;0
20200105;PASCO;CHOQUE;0;2
20200105;AREQUIPA;DESPISTE;0;0
20200105;ANCASH;CHOQUE;3;4
20200105;MOQUEGUA;DESPISTE;0;0
20200105;PUNO;DESPISTE;0;5
20200105;AREQUIPA;CHOQUE;0;0
20200106;LIMA;CHOQUE;0;0
20200106;LA LIBERTAD;DESPISTE;0;7
20200106;AYACUCHO;DESPISTE;0;0
20200106;PUNO;CHOQUE;1;0
20200106;ICA;DESPISTE;0;0
20200106;HUANCAVELICA;ATROPELLO;1;0
20200106;ICA;ATROPELLO;1;0
20200106;ICA;ATROPELLO;1;0
20200106;AREQUIPA;CHOQUE;16;46
20200106;AREQUIPA;DESPISTE;0;1
20200106;AREQUIPA;CHOQUE;2;5
20200107;LIMA;CHOQUE;0;1
20200107;HUANUCO;DESPISTE;0;0
20200107;HUANCAVELICA;ESPECIAL;0;2
20200107;AREQUIPA;DESPISTE;0;1
20200107;CUSCO;CHOQUE;1;0
20200107;ANCASH;DESPISTE;0;3
20200107;APURIMAC;DESPISTE;0;6
20200107;ANCASH;DESPISTE;0;1
20200107;ICA;DESPISTE;0;1
20200107;ANCASH;CHOQUE;0;2
20200107;CUSCO;CHOQUE;0;1
20200107;AREQUIPA;DESPISTE;0;0
20200107;CUSCO;CHOQUE;0;0
20200108;JUNIN;DESPISTE;0;1
20200108;AREQUIPA;DESPISTE;2;4
20200108;JUNIN;DESPISTE;0;1
20200108;LIMA;CHOQUE;0;0
20200108;CAJAMARCA;DESPISTE;0;0
20200108;PIURA;CHOQUE;0;0
20200108;HUANCAVELICA;CHOQUE;1;0
20200108;AREQUIPA;DESPISTE;0;2
20200108;PUNO;DESPISTE;0;2
20200108;HUANUCO;DESPISTE;0;2
20200108;ICA;CHOQUE;2;5
20200108;ANCASH;ATROPELLO;1;0
20200109;ANCASH;DESPISTE;0;25
20200109;LA LIBERTAD;DESPISTE;0;0
20200109;CAJAMARCA;CHOQUE;0;3
20200109;AREQUIPA;CHOQUE;0;1
20200109;LAMBAYEQUE;CHOQUE;0;1
20200109;AREQUIPA;CHOQUE;0;4
20200109;JUNIN;CHOQUE;0;0
20200109;ANCASH;ESPECIAL;0;1
20200109;SAN MARTIN;ESPECIAL;0;1
20200109;LA LIBERTAD;DESPISTE;0;5
20200109;AREQUIPA;ATROPELLO;1;0
20200109;CUSCO;DESPISTE;0;2
20200110;TACNA;CHOQUE;0;0
20200110;LIMA;DESPISTE;0;5
20200110;ICA;DESPISTE;2;0
20200110;CAJAMARCA;CHOQUE;0;2
20200110;LIMA;ATROPELLO;1;0
20200110;JUNIN;CHOQUE;0;0
20200110;LIMA;CHOQUE;0;0
20200110;LIMA;DESPISTE;0;1
20200110;LAMBAYEQUE;DESPISTE;0;2
20200110;AREQUIPA;DESPISTE;1;4
20200110;ICA;CHOQUE;0;1
20200110;AMAZONAS;DESPISTE;0;6
20200110;LA LIBERTAD;ESPECIAL;0;0
20200110;LA LIBERTAD;CHOQUE;0;4
20200111;ANCASH;CHOQUE;0;0
20200111;AREQUIPA;CHOQUE;0;10
20200111;LIMA;ATROPELLO;0;2
20200111;LIMA;ESPECIAL;0;2
20200111;LIMA;CHOQUE;0;0
20200111;CAJAMARCA;CHOQUE;0;2
20200111;LIMA;CHOQUE;0;5
20200111;CUSCO;DESPISTE;0;0
20200111;JUNIN;CHOQUE;0;0
20200111;PUNO;CHOQUE;0;0
20200111;JUNIN;DESPISTE;0;0
20200111;ICA;CHOQUE;0;1
20200111;LA LIBERTAD;CHOQUE;0;0
20200111;AREQUIPA;DESPISTE;0;0
20200111;LAMBAYEQUE;CHOQUE;0;1
20200111;PIURA;CHOQUE;0;1
20200111;AREQUIPA;CHOQUE;0;0
20200111;CUSCO;CHOQUE;1;0
20200111;CUSCO;CHOQUE;0;2
20200111;MOQUEGUA;CHOQUE;0;1
20200112;PUNO;CHOQUE;1;0
20200112;LAMBAYEQUE;CHOQUE;1;1
20200112;ANCASH;DESPISTE;0;1
20200112;LIMA;CHOQUE;0;1
20200112;LIMA;CHOQUE;0;2
20200112;LIMA;DESPISTE;0;5
20200112;LIMA;DESPISTE;0;0
20200112;UCAYALI;CHOQUE;2;0
20200112;LIMA;DESPISTE;0;0
20200112;AREQUIPA;DESPISTE;0;2
